Name,Id
american horror story,tt1844624
maniac,tt5580146
grey's anatomy,tt0413573
shameless,tt1586680
game of thrones,tt0944947
the big bang theory,tt0898266
titans,tt1043813
manifest,tt8421350
the walking dead,tt1520211
better call saul,tt3032476
mayans m.c.,tt5715524
ozark,tt5071412
9-1-1,tt7235466
this is us,tt5555260
the good doctor,tt6470478
jack ryan,tt5057054
lethal weapon,tt5164196
fear the walking dead,tt3743822
the good place,tt4955642
fbi,tt7491982
a discovery of witches,tt2177461
a million little things,tt7608248
doctor who,tt0436992
the gifted,tt4396630
new amsterdam,tt7817340
daredevil,tt3322312
black mirror,tt2085059
killing eve,tt7016936
suits,tt1632701
criminal minds,tt0452046
the man in the high castle,tt1740299
last man standing,tt1828327
big mouth,tt6524350
supernatural,tt0460681
magnum p.i.,tt7942796
bodyguard,tt7493974
law & order: special victims unit,tt0203259
ncis: naval criminal investigative service,tt0364845
brooklyn nine-nine,tt2467372
south park,tt0121955
chilling adventures of sabrina,tt7569592
the office,tt0386676
it's always sunny in philadelphia,tt0472954
vikings,tt2306299
stranger things,tt4574334
the flash,tt3107288
friends,tt0108778
how to get away with murder,tt3205802
the handmaid's tale,tt5834204
modern family,tt1442437
the deuce,tt4998350
the purge,tt6110648
the sinner,tt6048596
peaky blinders,tt2442560
the resident,tt6483832
chicago fire,tt2261391
breaking bad,tt0903747
chicago p.d.,tt2805096
the blacklist,tt2741602
bojack horseman,tt3398228
gotham,tt3749900
arrow,tt2193021
atypical,tt6315640
the last ship,tt2402207
riverdale,tt5420376
the 100,tt2661044
the goldbergs,tt2712740
iron fist,tt3322310
ncis: los angeles,tt1378167
american vandal,tt6877772
outlander,tt3006802
la casa de papel,tt6468322
hawaii five-0,tt1600194
murphy brown,tt0094514
the good cop,tt7183074
westworld,tt0475784
̩lite,tt7134908
orange is the new black,tt2372162
vikingane,tt5905354
bull,tt5827228
castle rock,tt6548228
once upon a time,tt1843230
sons of anarchy,tt1124373
blue bloods,tt1595859
the cry,tt5473364
saturday night live,tt0072562
the cool kids,tt7725538
lucifer,tt4052886
seal team,tt6473344
rick and morty,tt2861424
elementary,tt2191671
god friended me,tt7948998
you,tt7335184
bob's burgers,tt1561755
the neighborhood,tt7942794
kidding,tt7375404
the marvelous mrs. maisel,tt5788792
chicago med,tt4655480
wynonna earp,tt4878326
happy together,tt7976568
